,,,,,,,,,,,,,,,,
,,,AUTOCAR DATA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,# 1,ALPHARD,,,,,,,,,,,,,,
,,VARIANT (TG),PRICE (TG),BODYTYPE (TG),BODYTYPE (TG),OVERVIEW,ENGINE,,,DIMENSIONS,,ADDITIONAL DETAILS,,,FEATURES (AD),TECHNOLOGY FEATURES (AD)
,,,,,,,ENGINE SIZE (AD),HORSE POWER (TG),FUEL TYPE (AD),SEATING CAPACITY (TG),WHEELS (TG),DRIVETRAIN (AD), TORQUE (TG),SAFETY  & SECURITY (TG),,
,,2025 Toyota Alphard 2.5 HEV CVT,2026 Toyota Alphard 2.5 HEV CVT,Van,automatic,"Experience luxury and efficiency with the 2025 Toyota Alphard 2.5 HEV. This premium MPV features a 2.5L hybrid engine paired with a smooth CVT transmission, delivering both power and fuel economy. With its bold exterior, spacious interior, and advanced safety features, the Alphard is designed for comfort, elegance, and performance—ideal for families and executive travel alike.",2.5 L,248 (total system output)hp,Hybrid,7,19-inch alloy,Front-Wheel Drive,233Nm,"No. of Airbags: 1
Isofix: TRUE/Equippted
Driver Aids:  ABS, Electronic Stability Control, Traction Control, Hill-start Assist","Air Conditioning System:  Dual Zone Climate Control with S-Flow and NanoeX
Entertainment System: 14-inch Display audio with 15 speakers
Power Steering:  TRUE
Power Windows: TRUE
Keyless Entry: TRUE","Hill Start Assist: TRUE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
,,,,,,,,,,,,,,,,
,# 2,AVANZA,,,,,,,,,,,,,,
,,VARIANT (TG),PRICE (TG),BODYTYPE (TG),TRANSMISSION (TG),OVERVIEW,ENGINE,,,DIMENSIONS,,ADDITIONAL DETAILS,,,FEATURES (AD),TECHNOLOGY FEATURES (AD)
,,,,,,,ENGINE SIZE (AD),HORSE POWER (TG),FUEL TYPE (AD),SEATING CAPACITY (TG),WHEELS (TG),DRIVETRAIN (AD), TORQUE (TG),SAFETY  & SECURITY (TG),,
,,"Toyota Avanza 2022
1.3 E CVT","1,004,000",MPV,automatic,"A practical and versatile 7-seater MPV, the Toyota Avanza 1.3 E CVT offers smooth driving with its fuel-efficient CVT transmission. Ideal for urban families, it combines modern design, essential tech, and Toyota reliability at an accessible price point.",1.3 L,248 (total system output)hp,Gasoline,7,19-inch alloy,Front-Wheel Drive,122 Nm,"No. of Airbags: 2
Isofix: TRUE
Auto Brake System : FALSE","Air Conditioning System: Manual (Digital COntrol)Entertainment System: 8-inch Audio Display with 4 speakersPower Steering: TRUE
Power Windows: TRUEKeyless Entry: TRUE","Hill Start Assist: TRUE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
,,"Toyota Avanza 2022
1.3 E M/T","948,000",MPV,Manual,"For those who prefer greater control, the Avanza 1.3 E M/T delivers responsive performance through a 5-speed manual transmission. With its spacious cabin and fuel efficiency, it's a smart pick for both personal and business transport needs.",1.3 L,"98 @ 6,000 rpm",Gasoline,7,15-inch Alloy,Front-Wheel Drive,122 Nm,"No. of Airbags: 2
Isofix: TRUE
Auto Brake System : FALSE","Air Conditioning System: Manual (Digital COntrol)Entertainment System: 8-inch Audio Display with 4 speakersPower Steering: TRUE
Power Windows: TRUEKeyless Entry: TRUE","Hill Start Assist: TRUE
Tire Pressure Monitoring: FALSE
Start-stop System: FALSE"
